magmi:delete,sku
1,BRS-BH114.01
1,BRS-BH114.02
1,BRS-BH120
1,BRS-BH120.01
1,BRS-BH120.02
1,BRS-BH121
1,BRS-BH121.01
1,BRS-BH121.02
1,BRS-BH130LED
1,BRS-BH131LED
1,BRS-BH2080BLACK
1,BRS-BH3080BLACK
1,BRS-BH408BLACK
1,BRS-BH409BLACK
1,BRS-BTL004CHROME
1,BRS-BTL005CHROME
1,BRS-BTL007ELEPHANT
1,BRS-BTL009CH
1,BRS-BTL014CHROME
1,BRS-BTL031CHROME
1,BRS-BTL052CHROME
1,BRS-BTL1901SATIN
1,BRS-BTL2444FOSSIL
1,BRS-BTL2447DARK
1,BRS-BTL2448DARK
1,BRS-BTL903SATIN
1,BRS-BTL904SATIN
1,BRS-BTL908
1,BRS-BTL908.01
1,BRS-BTL908.02
1,BRS-BTL9303CR/STON
1,BRS-BULB700
1,BRS-BULB701
1,BRS-BULB702
1,BRS-BULB703
1,BRS-BULB704
1,BRS-BULB705
1,BRS-BULB706
1,BRS-BULB707
1,BRS-BULB708
1,BRS-BULB709
1,BRS-BULB710
1,BRS-BULB711
1,BRS-BULB712
1,BRS-BULB713
1,BRS-BULB714
1,BRS-BULB715
1,BRS-BULB716
1,BRS-BULB717
1,BRS-BULB718
1,BRS-BULB719
1,BRS-BULB720
1,BRS-BULB721
1,BRS-BULB722
1,BRS-BULB723
1,BRS-BULB724
1,BRS-BULB725
1,BRS-BULB726
1,BRS-BULBENERGY300
1,BRS-BULBENERGY301
1,BRS-BULBENERGY302
1,BRS-BULBENERGY303
1,BRS-BULBG92700K
1,BRS-BULBG94000K
1,BRS-BULBGU102700K
1,BRS-BULBGU104000K
1,BRS-BULBLED100
1,BRS-BULBLED101
1,BRS-BULBLED102
1,BRS-BULBLED103
1,BRS-BULBLED104
1,BRS-BULBLED105
1,BRS-BULBLED106
1,BRS-BULBLED107
1,BRS-BULBLED108
1,BRS-BULBLED109
1,BRS-BULBLED110
1,BRS-BULBLED111
1,BRS-BULBLED112
1,BRS-BULBLED113
1,BRS-BULBLED114
1,BRS-BULBLED115
1,BRS-BULBLED116
1,BRS-BULBLED117
1,BRS-BULBLED118
1,BRS-BULBLED119
1,BRS-BULBLED120
1,BRS-BULBLED121
1,BRS-BULBLED122
1,BRS-BULBLED129
1,BRS-BULBLED130
1,BRS-BULBLED131
1,BRS-BULBLED132
1,BRS-BULBLED133
1,BRS-BULBLED134
1,BRS-BULBLED135
1,BRS-BULBLED136
1,BRS-BULBLED137
1,BRS-BULBLED138
1,BRS-BULBLED139
1,BRS-BULBLED140
1,BRS-BULBLED142
1,BRS-BULBLED143
1,BRS-BULBLED144
1,BRS-BULBLED145
1,BRS-BULBLED146
1,BRS-BULBLED147
1,BRS-BULBLED148
1,BRS-BULBLED149
1,BRS-BULBLED150
1,BRS-BULBLED151
1,BRS-BULBLED152
1,BRS-BULBLED153
1,BRS-BULBLED154
1,BRS-BULBLED155
1,BRS-BULBLED156
1,BRS-BULBLED157
1,BRS-BULBLED158
1,BRS-BULBLED159
1,BRS-BULBLED160
1,BRS-BULBLED161
1,BRS-BULBLED162
1,BRS-BULBLED163
1,BRS-BULBLED164
1,BRS-BULBLED165
1,BRS-BULBLED166
1,BRS-BULBLED167
1,BRS-BULBLED172
1,BRS-BULBLED173
1,BRS-BULBLED174
1,BRS-BULBLED175
1,BRS-BULBLED176
1,BRS-BULBLED177
1,BRS-BULBLED178
1,BRS-BULBLED179
1,BRS-BULBLED180
1,BRS-BULBLED181
1,BRS-BULBLED182
1,BRS-BULBLED183
1,BRS-BULBLED184
1,BRS-BULBLED185
1,BRS-BULBLED186
